STATION,LAT,LON,PRECIPITATION_2010_MM
MW101328,-10.147,32.813,1140.599
MW101331,-10.147,33.125,1311.208
MW101334,-10.147,33.438,2153.299
MW101338,-10.147,33.75,1576.808
MW101341,-10.147,34.063,260.798
MW101344,-10.147,34.375,187.614
MW101347,-10.147,34.688,529.902
MW101350,-10.147,35,1375.931
MW105328,-10.46,32.813,988.955
MW105331,-10.46,33.125,1140.628
MW105334,-10.46,33.438,2917.069
MW105338,-10.46,33.75,4463.698
MW105341,-10.46,34.063,2193.972
MW105344,-10.46,34.375,614.287
MW105347,-10.46,34.688,446.586
MW105350,-10.46,35,1225.905
MW108328,-10.772,32.813,817.286
MW108331,-10.772,33.125,615.503
MW108334,-10.772,33.438,1877.469
MW108338,-10.772,33.75,3285.631
MW108341,-10.772,34.063,2797.08
MW108344,-10.772,34.375,918.336
MW108347,-10.772,34.688,712.053
MW108350,-10.772,35,2088.533
MW111328,-11.084,32.813,960.402
MW111331,-11.084,33.125,526.015
MW111334,-11.084,33.438,1013.307
MW111338,-11.084,33.75,1609.47
MW111341,-11.084,34.063,1148.145
MW111344,-11.084,34.375,656.856
MW111347,-11.084,34.688,856.974
MW111350,-11.084,35,2729.757
MW114328,-11.396,32.813,1141.09
MW114331,-11.396,33.125,762.686
MW114334,-11.396,33.438,1096.271
MW114338,-11.396,33.75,1238.516
MW114341,-11.396,34.063,660.776
MW114344,-11.396,34.375,377.008
MW117328,-11.709,32.813,1224.21
MW117331,-11.709,33.125,1248.972
MW117334,-11.709,33.438,1742.628
MW117338,-11.709,33.75,1943.571
MW117341,-11.709,34.063,816.769
MW117344,-11.709,34.375,281.689
MW120328,-12.021,32.813,1381.27
MW120331,-12.021,33.125,1544.693
MW120334,-12.021,33.438,2000.915
MW120338,-12.021,33.75,2368.267
MW120341,-12.021,34.063,1253.59
MW120344,-12.021,34.375,494.059
MW123328,-12.333,32.813,1749.602
MW123331,-12.333,33.125,1466.657
MW123334,-12.333,33.438,1509.567
MW123338,-12.333,33.75,1767.492
MW123341,-12.333,34.063,983.255
MW123344,-12.333,34.375,710.524
MW126325,-12.645,32.5,2083.426
MW126328,-12.645,32.813,1776.049
MW126331,-12.645,33.125,1143.393
MW126334,-12.645,33.438,996.925
MW126338,-12.645,33.75,1076.947
MW126341,-12.645,34.063,647.558
MW126344,-12.645,34.375,727.16
MW126347,-12.645,34.688,1228.729
MW130325,-12.958,32.5,1856.474
MW130328,-12.958,32.813,1361.855
MW130331,-12.958,33.125,874.185
MW130334,-12.958,33.438,892.257
MW130338,-12.958,33.75,1197.014
MW130341,-12.958,34.063,954.845
MW130344,-12.958,34.375,562.479
MW130347,-12.958,34.688,1207.115
MW133325,-13.27,32.5,1625.56
MW133328,-13.27,32.813,1164.224
MW133331,-13.27,33.125,896.088
MW133334,-13.27,33.438,1051.272
MW133338,-13.27,33.75,1662.288
MW133341,-13.27,34.063,1622.892
MW133344,-13.27,34.375,606.394
MW133347,-13.27,34.688,786.87
MW133350,-13.27,35,1513.956
MW133353,-13.27,35.313,2590.893
MW133356,-13.27,35.625,2057.654
MW133359,-13.27,35.938,806.166
MW133363,-13.27,36.25,515.884
MW136325,-13.582,32.5,1759.764
MW136328,-13.582,32.813,1418.741
MW136331,-13.582,33.125,1108.151
MW136334,-13.582,33.438,1194.64
MW136338,-13.582,33.75,1577.988
MW136341,-13.582,34.063,1547.01
MW136344,-13.582,34.375,489.14
MW136347,-13.582,34.688,453.053
MW136350,-13.582,35,704.926
MW136353,-13.582,35.313,1894.273
MW136356,-13.582,35.625,1764.326
MW136359,-13.582,35.938,707.209
MW136363,-13.582,36.25,591.077
MW139325,-13.894,32.5,1535.154
MW139328,-13.894,32.813,1386.989
MW139331,-13.894,33.125,1237.983
MW139334,-13.894,33.438,1162.328
MW139338,-13.894,33.75,1340.739
MW139341,-13.894,34.063,1317.238
MW139344,-13.894,34.375,581.948
MW139347,-13.894,34.688,382.552
MW139350,-13.894,35,686.299
MW139353,-13.894,35.313,1505.44
MW139356,-13.894,35.625,1875.583
MW139359,-13.894,35.938,1129.701
MW139363,-13.894,36.25,885.051
MW142325,-14.206,32.5,1112.267
MW142328,-14.206,32.813,1117.11
MW142331,-14.206,33.125,1222.302
MW142334,-14.206,33.438,1265.862
MW142338,-14.206,33.75,1380.778
MW142341,-14.206,34.063,1603.725
MW142344,-14.206,34.375,1175.503
MW142347,-14.206,34.688,498.667
MW142350,-14.206,35,549.92
MW142353,-14.206,35.313,1518.977
MW142356,-14.206,35.625,2273.972
MW142359,-14.206,35.938,1862.528
MW142363,-14.206,36.25,1162.311
MW145334,-14.519,33.438,1474.191
MW145338,-14.519,33.75,1500.562
MW145341,-14.519,34.063,1734.016
MW145344,-14.519,34.375,2021.299
MW145347,-14.519,34.688,1298.763
MW145350,-14.519,35,816.115
MW145353,-14.519,35.313,1270.988
MW145356,-14.519,35.625,2041.133
MW145359,-14.519,35.938,2018.693
MW145363,-14.519,36.25,1293.31
MW148334,-14.831,33.438,1599.487
MW148338,-14.831,33.75,1585.477
MW148341,-14.831,34.063,1731.03
MW148344,-14.831,34.375,2110.061
MW148347,-14.831,34.688,1840.487
MW148350,-14.831,35,876.889
MW148353,-14.831,35.313,770.846
MW148356,-14.831,35.625,1158.35
MW148359,-14.831,35.938,1396.628
MW148363,-14.831,36.25,1165.473
MW151341,-15.143,34.063,1576.226
MW151344,-15.143,34.375,1883.135
MW151347,-15.143,34.688,1628.741
MW151350,-15.143,35,938.636
MW151353,-15.143,35.313,723.91
MW151356,-15.143,35.625,851.852
MW151359,-15.143,35.938,993.01
MW151363,-15.143,36.25,1014.304
MW155341,-15.455,34.063,1418.817
MW155344,-15.455,34.375,1642.436
MW155347,-15.455,34.688,1451.932
MW155350,-15.455,35,1324.736
MW155353,-15.455,35.313,1423.56
MW155356,-15.455,35.625,1385.241
MW155359,-15.455,35.938,1044.469
MW155363,-15.455,36.25,909.802
MW158341,-15.768,34.063,1169.776
MW158344,-15.768,34.375,1277.489
MW158347,-15.768,34.688,1432.39
MW158350,-15.768,35,1946.847
MW158353,-15.768,35.313,2440.368
MW158356,-15.768,35.625,2285.722
MW158359,-15.768,35.938,1375.666
MW158363,-15.768,36.25,839.918
MW161341,-16.08,34.063,1231.817
MW161344,-16.08,34.375,1180.316
MW161347,-16.08,34.688,1288.168
MW161350,-16.08,35,1814.649
MW161353,-16.08,35.313,2602.096
MW161356,-16.08,35.625,2326.698
MW161359,-16.08,35.938,1433.728
MW161363,-16.08,36.25,940.463
MW164341,-16.392,34.063,1339.955
MW164344,-16.392,34.375,1118.067
MW164347,-16.392,34.688,909.171
MW164350,-16.392,35,1123.514
MW164353,-16.392,35.313,1479.041
MW164356,-16.392,35.625,1429.966
MW164359,-16.392,35.938,1159.503
MW164363,-16.392,36.25,989.438
MW167344,-16.704,34.375,1067.174
MW167347,-16.704,34.688,747.619
MW167350,-16.704,35,665.595
MW167353,-16.704,35.313,769.96
MW167356,-16.704,35.625,881.632
MW167359,-16.704,35.938,1014.477
MW167363,-16.704,36.25,1197.963
MW170347,-17.017,34.688,856.978
MW170350,-17.017,35,844.369
MW170353,-17.017,35.313,924.602
MW170356,-17.017,35.625,1045.082
MW170359,-17.017,35.938,1238.093
MW173350,-17.329,35,1057.499
MW173353,-17.329,35.313,1235.82
MW173356,-17.329,35.625,1386.073
MW173359,-17.329,35.938,1467.297
MW176350,-17.641,35,931.716
MW176353,-17.641,35.313,1119.16
MW176356,-17.641,35.625,1347.392
MW176359,-17.641,35.938,1285.258
MW180350,-17.953,35,729.785
MW180353,-17.953,35.313,896.717
MW180356,-17.953,35.625,1032.385
MW183353,-18.265,35.313,1042.981
MW183356,-18.265,35.625,1130.529
MW86328,-8.586,32.813,430.612
MW86331,-8.586,33.125,978.843
MW86334,-8.586,33.438,1638.792
MW86338,-8.586,33.75,1539.529
MW86341,-8.586,34.063,841.917
MW86344,-8.586,34.375,527.02
MW86347,-8.586,34.688,746.112
MW86350,-8.586,35,1270.294
MW89328,-8.899,32.813,1274.921
MW89331,-8.899,33.125,2742.581
MW89334,-8.899,33.438,3478.24
MW89338,-8.899,33.75,3120.49
MW89341,-8.899,34.063,1932.166
MW89344,-8.899,34.375,1411.568
MW89347,-8.899,34.688,1700.996
MW89350,-8.899,35,1605.134
MW92328,-9.211,32.813,1336.542
MW92331,-9.211,33.125,2192.611
MW92334,-9.211,33.438,2736.326
MW92338,-9.211,33.75,2246.761
MW92341,-9.211,34.063,1376.7
MW92344,-9.211,34.375,1898.708
MW92347,-9.211,34.688,2822.12
MW92350,-9.211,35,2542.859
MW95328,-9.523,32.813,956.039
MW95331,-9.523,33.125,1098.339
MW95334,-9.523,33.438,884.098
MW95338,-9.523,33.75,320.055
MW95341,-9.523,34.063,174.455
MW95344,-9.523,34.375,675.066
MW95347,-9.523,34.688,3034.126
MW95350,-9.523,35,3326.679
MW98328,-9.835,32.813,1008.002
MW98331,-9.835,33.125,973.147
MW98334,-9.835,33.438,767.573
MW98338,-9.835,33.75,210.758
MW98341,-9.835,34.063,71.048
MW98344,-9.835,34.375,180.785
MW98347,-9.835,34.688,1588.541
MW98350,-9.835,35,2720.473
